id,name,description,is_default,is_active,created_at,updated_at
514a4283-7e5a-471b-9f2b-c661fd083fb5,أسس الأمن المناطقي المطور,القالب الافتراضي الموحد لأسس الامن المناطقي,t,t,2026-05-27 22:07:08.484,2026-05-28 20:55:10.286
5e810cad-e677-4edd-93fb-e6d40267f5b4,اسس مقر دوائر,,f,t,2026-05-30 13:39:37.657,2026-05-30 13:39:37.657
