id,secondary_id,detail_text,max_grade,input_type,table_schema,sort_order
698,32,جاهزية وتوفر معدات الغوص الكاملة (بدلات، أجهزة تنفس، قناني أوكسجين، زعانف). (0 د),20.00,multiple,null,14
739,34,الطاقة الاستيعابية للموقف وتوفر الشروط الصحية المناسبة ومكان ملائم للتشميس وادامة مذكرات التوقيف وتوفر السجلات (زيارة الطبيب - التشميس - معلومات الموقوفين - حركة الموقوفين) ومتابعة تسفير المحكومين للمؤسسات الاصلاحية.,10.00,multiple,null,35
682,31,مدى الإلمام بقانون الدفاع المدني رقم (44) لسنة 2013. (0 د),10.00,multiple,null,0
703,32,تقييم نظام تخزين المعدات وقطع الغيار. (0 د),10.00,multiple,null,7
702,32,مدى توفر المراسي الآمنة لكل مفرزة. (0 د),10.00,multiple,null,16
683,31,صلاحية أنظمة الإنذار والإنارة البديلة. (0 د),22.00,multiple,null,12
224,31,توفر سجلات المشجب.,0.50,multiple,null,17
227,31,التدريب على الحركات اليدوية والفورية (وفق معايير NFPA).,0.50,multiple,null,20
230,31,توفر سجلات التدريب والكراسات المعتمدة.,0.50,multiple,null,23
740,34,العمل بأجراء دور الاستلام وتسليم الاوراق التحقيقية بين الضباط المنقولين قبل اجراء الانفكاك.,10.00,multiple,null,36
211,31,متابعة المجالس واللجان التحقيقية والعقوبات الانضباطية.,0.70,multiple,null,4
212,31,الإجراءات المتخذة بشأن الغياب والهروب والمفقودات.,0.50,multiple,null,5
213,31,الالتزام بحقوق الإنسان والقوانين النافذة.,0.50,multiple,null,6
214,31,إدامة الآليات منتظمة وتوفر الخزين الاستراتيجي للوقود والزيوت.,0.50,multi,null,7
216,31,توفر كاميرات المراقبة (الداش كام) والتجهيزات الحديثة.,0.50,multiple,null,8
218,31,جاهزية أجهزة الاتصال اللاسلكي الثابتة والمحمولة.,0.50,multiple,null,10
219,31,توفر غرفة سيطرة نموذجية مجهزة بالخرائط والرموز والاحصائيات والسجلات الخاصة بها.,0.50,multiple,null,11
222,31,المشجب والأسلحة,0.41,multi,,15
223,31,تأمين غرفة المشجب وتوفر الشروط الأمنية (أبواب حديدية، أقفال، عزل كهربائي).,0.41,multi,,16
225,31,الجانب العملياتي والميداني,0.41,multi,,18
226,31,اجراء ممارسة ميدانية لحادث افتراضي وفحص (الجاهزية والاستجابة، وقت الاستجابة من تلقي البلاغ حتى انطلاق الفرقة، وقت الوصول إلى موقع الحادث، التقدير الصحيح للموقف من قبل قائد الفرقة).,0.80,multiple,null,19
228,31,التدريب على استخدام السلالم وأجهزة الإنقاذ المتنوعة.,0.50,multiple,null,21
229,31,"فحص اللياقة البدنية للمنتسبين وفق برنامج اللياقة (NFPA, OSHA).",0.50,multiple,null,22
231,31,توفر مدخرات التدريب والأجهزة المساعدة.,0.70,multiple,null,24
237,31,المحاضرات التوعوية للمواطنين والمؤسسات.,0.50,multiple,null,28
243,31,التوثيق الإعلامي للحوادث والتدريبات.,0.50,multiple,null,34
254,31,توفر مطافئ الحرائق المتنوعة وأجهزة الإنذار المبكر.,0.50,multiple,null,45
253,31,توفر منظومة كاميرات.,0.50,multiple,null,44
252,31,صلاحية الحمامات والتجهيزات الصحية.,0.50,multiple,null,43
251,31,توفر الوسائل الترفيهية وأجهزة التبريد.,0.50,multiple,null,42
250,31,نظافة وترتيب قاعات المنام والاستراحات والمطبخ.,0.50,multiple,null,41
247,31,توفر خطط الوقاية والسلامة الصناعية السنوية.,0.50,multiple,null,38
246,31,متابعة كشف المشاريع المخالفة لقانون الدفاع المدني رقم (44) لسنة 2013.,0.50,multiple,null,37
245,31,موافقات الدفاع المدني للمشاريع المشيدة حديثاً.,0.50,multiple,null,36
244,31,جرد المشاريع الحيوية وحسب التصنيف (أ، ب، ج).,0.50,multiple,null,35
242,31,توزيع النشرات والبوسترات الإرشادية.,0.50,multiple,null,33
236,31,الجانب الوقائي والإعلامي,0.41,multi,,27
248,31,جانب البنى التحتية والخدمات,0.41,multi,,39
255,31,التقييم.,0.41,single,,46
